inventory_id,warehouse_id,warehouse_name,warehouse_state,warehouse_region,product_id,product_name,brand_name,stock_available,reorder_level,max_capacity,stock_status,days_of_supply,last_updated
INV00001,WH001,Mumbai Central WH,Maharashtra,West,PRD001,Shampoo 200ml,Sunsilk,225,193,1930,Healthy,35.0,2024-12-13
INV00002,WH001,Mumbai Central WH,Maharashtra,West,PRD002,Anti-Dandruff Shampoo,Head & Shoulders,379,161,1610,Healthy,70.6,2024-12-07
INV00003,WH001,Mumbai Central WH,Maharashtra,West,PRD003,Face Wash 100g,Himalaya,220,79,790,Healthy,83.5,2024-12-09
INV00004,WH001,Mumbai Central WH,Maharashtra,West,PRD004,Body Lotion 300ml,Vaseline,197,112,1120,Healthy,52.8,2024-12-10
INV00005,WH001,Mumbai Central WH,Maharashtra,West,PRD005,Talcum Powder 150g,Ponds,472,63,630,Overstocked,224.8,2024-12-20
INV00006,WH001,Mumbai Central WH,Maharashtra,West,PRD006,Herbal Hair Oil 100ml,Dabur Amla,174,86,860,Healthy,60.7,2024-12-15
INV00007,WH001,Mumbai Central WH,Maharashtra,West,PRD007,Whitening Toothpaste,Colgate,62,77,770,Low Stock,24.2,2024-12-12
INV00008,WH001,Mumbai Central WH,Maharashtra,West,PRD008,Charcoal Toothpaste,Patanjali,229,79,790,Healthy,87.0,2024-12-02
INV00009,WH001,Mumbai Central WH,Maharashtra,West,PRD009,Deo Spray 150ml,Axe,442,198,1980,Healthy,67.0,2024-12-11
INV00010,WH001,Mumbai Central WH,Maharashtra,West,PRD010,Perfume Deo 150ml,Fogg,247,92,920,Healthy,80.5,2024-12-31
INV00011,WH001,Mumbai Central WH,Maharashtra,West,PRD011,Moisturizing Soap 100g,Dove,154,163,1630,Low Stock,28.3,2024-12-13
INV00012,WH001,Mumbai Central WH,Maharashtra,West,PRD012,Neem Soap 100g,Medimix,163,126,1260,Healthy,38.8,2024-12-13
INV00013,WH001,Mumbai Central WH,Maharashtra,West,PRD013,Detergent Powder 1kg,Surf Excel,32,123,1230,Low Stock,7.8,2024-12-30
INV00014,WH001,Mumbai Central WH,Maharashtra,West,PRD014,Fabric Softener 500ml,Comfort,94,50,500,Healthy,56.4,2024-12-22
INV00015,WH001,Mumbai Central WH,Maharashtra,West,PRD015,Dish Wash Liquid 500ml,Vim,155,152,1520,Healthy,30.6,2024-12-14
INV00016,WH001,Mumbai Central WH,Maharashtra,West,PRD016,Floor Cleaner 1L,Lizol,112,73,730,Healthy,46.0,2024-12-09
INV00017,WH001,Mumbai Central WH,Maharashtra,West,PRD017,Toilet Cleaner 500ml,Harpic,139,62,620,Healthy,67.3,2024-12-27
INV00018,WH001,Mumbai Central WH,Maharashtra,West,PRD018,All-Purpose Spray 400ml,Colin,165,108,1080,Healthy,45.8,2024-12-26
INV00019,WH001,Mumbai Central WH,Maharashtra,West,PRD019,Cream Biscuits 200g,Oreo,88,75,750,Healthy,35.2,2024-12-13
INV00020,WH001,Mumbai Central WH,Maharashtra,West,PRD020,Instant Noodles 75g,Maggi,343,136,1360,Healthy,75.7,2024-12-27
INV00021,WH001,Mumbai Central WH,Maharashtra,West,PRD021,Refined Sunflower Oil 1L,Fortune,605,134,1340,Overstocked,135.4,2024-12-03
INV00022,WH001,Mumbai Central WH,Maharashtra,West,PRD022,Masala Chai 250g,Tata Tea,456,92,920,Overstocked,148.7,2024-12-21
INV00023,WH001,Mumbai Central WH,Maharashtra,West,PRD023,Instant Coffee 50g,Nescafe,1426,187,1870,Overstocked,228.8,2024-12-13
INV00024,WH001,Mumbai Central WH,Maharashtra,West,PRD024,Mixed Masala 100g,MDH,1233,176,1760,Overstocked,210.2,2024-12-09
INV00025,WH001,Mumbai Central WH,Maharashtra,West,PRD025,Mixed Fruit Jam 250g,Kissan,30,110,1100,Low Stock,8.2,2024-12-07
INV00026,WH001,Mumbai Central WH,Maharashtra,West,PRD026,Tomato Ketchup 500g,Heinz,143,110,1100,Healthy,39.0,2025-01-01
INV00027,WH001,Mumbai Central WH,Maharashtra,West,PRD027,Cornflakes 500g,Kelloggs,375,197,1970,Healthy,57.1,2024-12-12
